,Name,URL,Category,Attributes,Size,Volume,Loop count,Wedge count,Claw count,Cross count,Triangle count,Square count,4-Tour count,Maximum degree,Average degree,Fill,Size of LCC,Diameter,50-Percentile effective diameter,90-Percentile effective diameter,Median distance,Mean distance,Gini coefficient,Balanced inequality ratio,Relative edge distribution entropy,Power law exponent,Tail power law exponent,Tail power law exponent with p,p-value,Degree assortativity,Degree assortativity p-value,Clustering coefficient,Spectral norm,Algebraic connectivity,Spectral separation,Non-bipartivity,Normalized non-bipartivity,Algebraic non-bipartivity,Spectral bipartite frustration,Controllability,Relative controllability,Left size,Right size,Maximum left degree,Maximum right degree,Average left degree,Average right degree,Left balanced inequality ratio,Right balanced inequality ratio,Left tail power law exponent with p,Left p-value,Right tail power law exponent with p,Right p-value,Maximum outdegree,Maximum indegree,Size of LSCC,Relative size of LSCC,Outdegree balanced inequality ratio,Indegree balanced inequality ratio,In/outdegree correlation,Directed clustering coefficient,Operator 2-norm,Cyclic eigenvalue,Reciprocity,Negativity,Algebraic conflict,Triadic conflict,Spectral signed frustration,Outdegree tail power law exponent with p,Outdegree p-value,Indegree tail power law exponent with p,Indegree p-value,Unique edge count,Average edge multiplicity
mch,Wiktionary edits (ch),edit-chwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",103,98,,144,208,231,,8.0,834.0,12,1.90291,0.0344113,29,6.0,2.869,4.45949,3.0,3.27611,0.415321,0.341837,0.94833,4.42259,2.491,2.491,0.187,-0.0149319,0.893418,,5.38846,0.155164,1.15364,,,,,31.0,0.300971,36.0,67.0,10.0,12.0,2.72222,1.46269,0.326531,0.397959,3.151,0.342,3.281,0.134,,,,,,,,,,,,,,,,,,,,83.0,1.18072
Mt,Train bombing,moreno_train/,Human social network,"['Unipartite', 'undirected', 'Positive weights', 'no multiple edges']",64,243,0.0,2818,14360,65267,527.0,3672.0,41134.0,29,7.59375,0.120536,64,6.0,2.08761,3.63138,3.0,2.62749,0.428305,0.329218,0.926924,1.6029,4.041,4.041,0.817,0.0294646,0.516967,0.561036,19.4863,0.332207,2.16247,0.655074,0.454523,0.831432,0.0273723,2.0,0.03125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qug,Wikiquote edits (ug),edit-ugwikiquote/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",93,100,,152,209,199,,14.0,934.0,12,2.15054,0.0445055,12,7.0,1.84375,4.675,2.0,2.64151,0.463846,0.32,0.943482,3.88546,2.351,2.351,0.128,0.098595,0.381193,,8.0,0.122267,1.53708,,,,,37.0,0.397849,28.0,65.0,12.0,8.0,3.57143,1.53846,0.3,0.39,8.991,0.479,7.181,0.858,,,,,,,,,,,,,,,,,,,,81.0,1.23457
mav,Wiktionary edits (av),edit-avwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",107,100,,142,195,209,,13.0,880.0,11,1.86916,0.034127,15,6.0,2.21569,3.8918,3.0,2.72458,0.412917,0.345,0.950028,4.42493,2.491,2.491,0.234,0.165911,0.12684,,5.0998,0.182941,1.09917,,,,,39.0,0.364486,35.0,72.0,11.0,3.0,2.85714,1.38889,0.3,0.41,1.941,0.05,6.881,0.856,,,,,,,,,,,,,,,,,,,,86.0,1.16279
Mc,Sheep,moreno_sheep/,Animal network,"['Unipartite', 'directed', 'Positive weights', 'no multiple edges']",28,250,0.0,4052,28398,128061,983.0,12006.0,112726.0,26,17.8571,0.330688,28,3.0,0.821146,1.75514,1.0,1.36979,0.158429,0.434,0.983126,1.73313,8.991,8.991,0.274,-0.00400026,0.931075,0.727789,59.8919,3.9723,2.7729,0.755225,0.664061,3.65332,0.0544112,1.0,0.0357143,,,,,,,,,,,,,18.0,21.0,22.0,0.785714,0.352,0.364,-0.338766,0.643463,38.3539,13.8116,0.12,,,,,8.431,0.169,3.981,0.464,,
mak,Wiktionary edits (ak),edit-akwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",119,100,,138,263,422,,4.0,798.0,14,1.68067,0.0275316,14,4.0,1.43023,2.385,2.0,1.88177,0.402532,0.345,0.950984,5.51486,2.731,2.731,0.898,0.0454151,0.676172,,4.69092,0.316929,1.13772,,,,,40.0,0.338983,40.0,79.0,14.0,4.0,2.5,1.26582,0.31,0.43,2.531,0.809,3.801,0.368,,,,,,,,,,,,,,,,,,,,87.0,1.14943
GF,Gene fusion,gene_fusion/,Miscellaneous network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",291,279,0.0,1786,12060,76272,1.0,41.0,8030.0,34,1.91753,0.00661216,110,9.0,3.38324,5.30895,4.0,3.87139,0.431672,0.340502,0.901129,4.45736,2.501,2.501,0.06,-0.354688,5.51293e-18,0.00167973,5.85817,0.0308397,1.00084,0.000835519,0.00650011,0.0134414,0.00149047,159.0,0.546392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks,Wikibooks edits (ks),edit-kswikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",89,110,,277,766,1829,,57.0,1734.0,25,2.47191,0.051875,43,10.0,3.77506,6.54324,4.0,4.34114,0.473153,0.322727,0.921784,3.51198,2.891,2.891,0.047,0.241924,0.0275633,,7.60409,0.0627369,1.0087,,,,,38.0,0.44186,25.0,64.0,25.0,7.0,4.4,1.71875,0.272727,0.345455,2.141,0.641,5.631,0.517,,,,,,,,,,,,,,,,,,,,83.0,1.3253
Ml,Les Misérables,moreno_lesmis/,Miscellaneous network,"['Unipartite', 'undirected', 'Positive weights', 'no multiple edges']",77,254,0.0,2808,15177,83352,467.0,2672.0,33116.0,36,6.5974,0.0868079,77,5.0,2.17205,3.3951,3.0,2.63558,0.461039,0.32874,0.916522,1.69113,4.121,4.121,0.951,-0.165225,0.000183617,0.498932,65.0263,0.55436,1.33338,0.561283,0.134561,0.240638,0.00911868,15.0,0.194805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bch,Wikibooks edits (ch),edit-chwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",84,112,,259,770,1823,,57.0,1772.0,26,2.66667,0.0583333,39,8.0,3.78866,6.50074,4.0,4.27197,0.503869,0.303571,0.921253,3.3527,2.731,2.731,0.829,0.0201354,0.855742,,7.92834,0.137288,1.23642,,,,,38.0,0.452381,24.0,60.0,26.0,13.0,4.66667,1.86667,0.267857,0.357143,2.461,0.671,4.511,0.317,,,,,,,,,,,,,,,,,,,,84.0,1.33333
bas,Wikibooks edits (as),edit-aswikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",102,116,,317,1026,2842,,80.0,2134.0,28,2.27451,0.0431622,42,10.0,3.6447,6.14362,4.0,4.15324,0.456897,0.327586,0.923688,3.64749,2.901,2.901,0.635,0.302514,0.00288575,,8.19321,0.0436125,2.31353,,,,,39.0,0.386139,31.0,71.0,28.0,5.0,3.74194,1.6338,0.267241,0.37069,2.281,0.786,4.691,0.714,,,,,,,,,,,,,,,,,,,,95.0,1.22105
bmy,Wikibooks edits (my),edit-mywikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",98,123,,327,1484,6144,,7.0,1578.0,22,2.5102,0.0476712,48,8.0,3.05421,4.78067,4.0,3.41473,0.558303,0.276423,0.915019,4.14567,2.421,2.421,0.785,-0.113753,0.294139,,13.5833,0.066938,1.8798,,,,,47.0,0.484536,25.0,73.0,22.0,22.0,4.92,1.68493,0.292683,0.365854,2.921,0.391,3.441,0.19,,,,,,,,,,,,,,,,,,,,87.0,1.41379
baa,Wikibooks edits (aa),edit-aawikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",115,119,,228,440,702,,50.0,1540.0,21,2.06957,0.0351617,15,6.0,1.9,3.848,2.0,2.57627,0.410488,0.348739,0.941207,3.93059,3.001,3.001,0.156,0.43246,7.013659999999999e-06,,7.12763,0.0875607,1.67114,,,,,43.0,0.373913,36.0,79.0,21.0,4.0,3.30556,1.50633,0.294118,0.394958,2.351,0.571,6.231,0.652,,,,,,,,,,,,,,,,,,,,100.0,1.19
d6,Bundesliga (2016/2017),league-de1-2016/,Interaction network,"['Unipartite', 'directed', 'Signed', 'possibly weighted', 'multiple edges']",18,306,0.0,2448,47061,277047,816.0,7605.0,70048.0,34,34.0,0.75817,18,1.0,0.471246,0.894249,1.0,0.945619,0.0560345,0.461207,0.998181,7.85465,8.991,8.991,0.003,-0.113517,0.0526561,1.0,19.5998,30.0087,1.04879,0.771061,0.825038,12.2563,0.188882,0.0,0.0,,,,,,,,,,,,,17.0,17.0,18.0,1.0,0.443966,0.448276,0.155646,0.755752,18.5132,3.24263,0.741379,0.353448,14.8232,0.459959,0.326982,8.991,0.572,8.991,0.535,232.0,1.31897
